symbol	P4970_SR_1	P4970_SR_2	P4970_SR_3	P4970_SR_4	P4970_SR_5	P4970_SR_6	P4970_SR_7	P4970_SR_9	P4970_SR_10	P4970_SR_11	P4970_SR_12	P4970_SR_13	P4970_SR_14
NRG1-IT1	0	0	0	0	0	0	0	0	0	0	0	1	0
NRG1-IT2	0	0	0	0	0	0	0	0	0	0	0	0	0
NRG1-IT3	0	0	0	0	0	0	0	0	0	0	0	0	0
NRG2	0	0	0	0	0	10	3	0	0	0	0	0	2
NRG3	0	0	0	0	0	0	0	0	0	0	0	0	0
NRG3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
NRG4	8	19	29	71	23	64	31	2	83	42	42	12	16
NRGN	132	952	121	1052	26	235	151	81	653	62	549	69	1147
NRIP1	1009	2844	1733	1443	958	1565	1899	887	823	1048	1059	462	2498
NRIP2	11	56	25	171	38	173	24	16	186	26	223	0	87
NRIP3	418	15	1093	22	292	45	529	953	14	1804	11	94	166
NRK	0	0	5	0	0	0	0	0	0	0	0	1	0
NRL	31	15	0	24	0	11	39	12	17	0	21	5	19
NRM	118	264	166	293	93	148	408	429	109	193	180	199	328
NRN1	19	14	9	0	0	8	102	18	0	0	8	4	5
NRN1L	0	0	7	0	0	0	0	0	0	0	4	0	0
NRON	0	3	0	5	0	2	0	0	0	0	0	0	2
NRP1	2998	85	3074	91	284	81	3727	606	3	561	87	992	171
NRP2	1741	50	1090	125	233	35	2562	341	13	357	42	407	82
NRROS	439	1077	272	1645	437	764	569	92	890	194	1147	276	1138
NRSN1	0	0	0	0	0	0	0	0	0	0	0	1	0
NRSN2	114	6	99	3	26	38	90	34	20	9	9	27	10
NRTN	0	0	0	0	0	0	0	0	0	0	2	0	0
NRXN1	0	0	5	0	0	0	24	11	0	10	0	5	0
NRXN2	0	74	0	82	37	21	20	45	60	69	50	14	5
NRXN3	0	0	0	0	0	0	0	0	0	0	0	0	0
NSA2	82	583	123	465	346	452	282	56	192	69	386	57	460
NSD1	1074	3502	840	3903	1326	3457	3228	386	3040	646	3445	974	3352
NSDHL	71	122	54	141	62	107	158	3	176	23	97	35	177
NSF	268	584	189	542	335	393	564	164	251	90	543	197	601
NSFL1C	504	1013	456	1379	561	835	1238	225	1561	351	1185	674	914
NSFP1	0	26	10	0	40	34	0	0	0	0	1	17	41
NSG1	1	16	0	26	27	77	0	0	51	0	54	10	6
NSG2	0	0	0	0	0	0	0	0	0	0	1	0	0
NSL1	166	338	69	517	135	311	326	31	256	55	338	98	294
NSMAF	409	955	2580	1036	1401	991	3684	4316	1005	4005	847	1980	949
NSMCE1	164	377	144	265	488	312	256	97	201	68	197	113	428
NSMCE2	149	220	314	261	225	243	383	284	123	400	198	184	247
NSMCE4A	183	291	56	369	287	508	268	8	290	14	328	33	297
NSMF	257	792	247	746	302	721	412	118	597	169	1086	135	710
NSRP1	167	233	230	436	178	347	337	225	370	176	455	202	339
NSRP1P1	0	12	0	19	30	13	0	0	13	1	46	8	17
NSUN2	513	951	645	980	1074	937	1012	303	908	304	910	273	830
NSUN3	74	190	47	238	116	255	177	60	134	14	299	94	162
NSUN4	388	495	296	317	519	468	1284	258	331	409	479	530	240
NSUN5	143	339	100	189	148	220	275	74	167	58	272	37	212
NSUN5P1	40	143	47	213	103	306	111	14	220	90	285	8	129
NSUN5P2	4	9	0	2	20	21	1	0	72	11	37	0	4
NSUN6	39	55	127	109	172	43	332	108	63	95	95	80	51
NSUN7	85	13	59	25	33	22	336	88	35	75	5	292	56
NT5C	200	236	120	263	310	334	365	65	279	60	270	106	165
NT5C1A	0	0	0	0	17	0	0	0	0	0	0	0	0
NT5C1B	0	0	0	0	5	14	0	0	0	0	3	0	0
NT5C1B-RDH14	0	0	0	0	0	0	0	0	0	0	0	0	0
NT5C2	556	1179	719	1475	463	627	1234	840	873	579	1207	1083	1367
NT5C3A	219	411	100	455	258	385	505	179	388	167	298	556	248
NT5C3AP1	12	5	0	15	6	1	15	0	11	10	2	10	5
NT5C3B	15	122	33	59	46	72	83	16	165	7	30	82	172
NT5CP1	0	25	0	12	0	31	0	0	0	12	5	0	6
NT5CP2	0	0	0	0	0	0	0	0	0	0	0	0	0
NT5DC1	14	164	62	320	171	295	187	25	151	27	171	22	240
NT5DC2	175	51	147	109	135	72	705	46	201	126	84	28	56
NT5DC3	24	30	55	121	267	119	203	41	233	89	204	20	68
NT5DC4	25	6	9	11	15	0	31	9	0	362	7	54	3
NT5E	50	0	490	21	428	192	196	156	52	201	26	25	6
NT5M	0	7	0	4	1	9	18	0	0	0	9	0	8
NTAN1	132	241	148	228	56	144	500	58	276	125	187	37	259
NTAN1P2	0	15	0	24	16	6	0	0	12	0	28	0	4
NTAN1P3	0	0	0	0	0	0	0	0	0	0	0	0	0
NTF3	0	0	0	0	0	0	0	0	0	0	0	0	0
NTF4	4	0	0	0	0	0	0	0	0	0	0	0	0
NTF6A	0	0	0	0	0	0	0	0	0	3	0	0	0
NTF6B	0	0	0	0	0	0	0	0	0	0	0	0	0
NTF6G	0	0	0	0	0	0	0	0	0	0	0	0	0
NTHL1	3	48	23	66	12	86	22	0	54	0	33	10	50
NTM	6	0	58	0	21	0	0	12	0	5	0	0	0
NTM-IT	0	0	0	0	0	0	0	0	0	0	0	0	0
NTMT1	113	249	59	162	268	217	277	110	203	149	216	42	229
NTN1	10	8	0	18	0	64	72	8	33	28	62	1	25
NTN3	18	22	7	28	10	9	3	0	47	0	32	13	3
NTN4	0	0	8	0	0	0	0	0	0	0	0	0	0
NTN5	0	0	18	4	22	10	6	0	10	0	7	0	0
NTNG1	5	0	0	0	37	12	0	0	0	0	13	0	0
NTNG2	68	370	308	512	107	269	317	480	287	328	190	770	181
NTPCR	109	204	106	288	134	182	228	11	219	10	156	51	205
NTRK1	13	8	36	0	93	45	0	10	41	53	8	22	14
NTRK2	0	0	11	0	0	0	0	0	0	0	2	1	0
NTRK3	5	0	11	0	0	0	0	4	0	0	0	6	0
NTRK3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
NTS	0	0	0	0	0	0	0	0	0	0	0	0	0
NTSR1	31	154	138	16	20	69	29	106	155	140	18	76	230
NTSR2	0	0	0	0	0	0	0	0	0	0	0	0	0
NUAK1	6	0	37	0	9	88	7	9	0	0	5	3	0
NUAK2	124	742	132	1007	305	323	759	237	319	254	327	130	952
NUB1	560	871	432	1259	614	1005	1468	1087	360	433	931	1241	715
NUBP1	202	240	102	253	182	178	461	64	184	61	263	57	295
NUBP2	198	395	113	427	120	279	355	65	322	94	276	63	313
NUBPL	45	59	15	80	87	136	63	8	92	0	84	27	53
NUCB1	2885	3273	2159	3290	777	1392	4640	1199	2124	2183	1557	2284	4109
NUCB1-AS1	13	0	13	0	1	0	4	0	0	33	10	0	3
NUCB2	132	217	167	255	166	275	218	67	139	119	142	96	328
NUCKS1	475	987	690	1129	902	1314	1536	277	693	184	732	310	642
NUDC	433	451	426	407	281	357	619	204	176	271	322	246	613
NUDCD1	86	130	30	93	176	99	286	54	93	16	131	38	59
NUDCD2	95	170	86	170	199	205	156	6	203	63	162	49	142
NUDCD3	286	628	219	767	726	978	754	109	754	75	805	143	494
NUDT1	152	215	120	200	154	180	226	58	88	64	103	41	117
NUDT10	0	0	8	0	0	24	14	0	0	0	3	0	1
NUDT11	13	0	3	0	0	21	21	0	0	0	0	0	0
NUDT12	12	23	8	16	17	4	29	12	21	0	16	0	8
NUDT13	22	68	95	120	177	106	90	103	70	38	150	44	76
NUDT14	170	71	48	72	38	70	164	36	173	22	124	73	92
NUDT15	26	126	36	70	62	25	84	7	71	57	67	17	88
NUDT16	294	1196	163	1564	150	744	2505	290	7076	73	1466	530	1242
NUDT16L1	149	205	86	316	115	300	264	62	123	43	199	58	377
NUDT16P1	41	168	12	145	47	93	298	54	502	33	76	62	128
NUDT17	13	21	0	51	45	42	14	7	68	28	90	7	28
NUDT18	56	209	43	258	43	136	188	0	73	30	172	48	190
NUDT19	53	339	23	245	96	240	156	11	295	48	261	41	319
NUDT19P3	0	9	0	0	0	0	0	0	0	0	0	0	1
NUDT19P4	0	0	0	1	3	0	13	0	46	0	6	8	5
NUDT19P5	16	23	3	48	0	11	20	0	43	3	35	0	29
NUDT2	28	63	62	191	76	74	134	4	58	15	48	8	200
NUDT21	180	897	200	928	499	917	748	51	485	99	654	176	828
NUDT22	118	376	144	439	131	309	356	67	332	108	253	116	393
NUDT3	354	742	219	923	215	562	1000	102	678	197	700	162	739
NUDT4	309	803	367	776	760	583	847	336	392	420	486	128	698
NUDT4P1	15	46	23	39	18	7	34	19	2	3	21	14	13
NUDT5	75	201	93	303	146	197	544	66	159	52	253	190	312
NUDT6	3	28	0	29	0	9	55	0	21	0	41	0	9
NUDT7	7	9	0	15	0	0	0	0	2	0	3	0	4
NUDT8	0	5	13	12	0	4	18	0	0	0	7	0	20
NUDT9	142	106	62	97	109	126	75	32	136	0	105	10	121
NUF2	1	5	12	18	58	7	19	17	0	0	6	7	2
NUFIP1	47	32	26	60	85	83	55	31	87	55	61	12	60
NUFIP1P	0	0	0	0	0	3	0	0	0	0	0	0	7
NUFIP2	1525	3332	2281	3889	3352	2860	5810	2245	2580	3696	2815	1385	3516
NUGGC	0	0	0	0	89	129	0	7	18	0	31	0	0
NUMA1	1606	2354	1584	2851	1540	1969	2589	727	2267	1071	2435	866	2114
NUMB	1766	3104	4000	4769	1536	1923	5539	3156	2985	4148	3491	3858	4457
NUMBL	25	52	13	68	188	123	60	19	97	0	113	87	77
NUP107	231	281	128	329	314	313	562	111	235	71	351	66	237
NUP133	315	616	139	671	399	669	693	89	569	57	528	170	485
NUP153	298	1103	556	1193	1797	1197	1954	344	863	557	1081	506	1219
NUP155	189	452	179	496	420	513	415	103	329	44	517	115	429
NUP160	401	342	194	452	555	787	663	123	329	94	532	169	372
NUP188	473	724	465	595	778	555	962	331	497	183	718	224	619
NUP205	445	674	325	828	1039	916	1260	135	447	156	754	319	523
NUP210	323	2794	229	2820	1886	3596	964	270	2303	176	3302	205	2371
NUP210L	40	20	129	64	126	59	297	262	150	708	115	77	24
NUP210P1	0	0	0	0	0	0	0	0	0	0	0	0	0
NUP210P2	0	0	0	0	0	0	0	0	0	0	0	0	0
NUP210P3	0	0	0	0	0	11	0	0	0	0	1	1	3
NUP214	392	2010	414	2335	755	1423	1296	297	1604	369	1732	408	2128
NUP35	6	53	17	72	139	41	76	15	137	15	54	22	20
NUP37	36	65	5	127	52	70	89	13	26	0	114	11	102
NUP43	104	298	111	649	169	256	560	31	579	11	360	51	330
NUP50	454	1783	330	1990	896	1370	1468	373	1401	372	1478	283	940
NUP54	134	352	119	441	261	412	395	49	234	76	374	46	459
NUP62	793	1023	609	1245	373	573	1706	342	742	349	774	387	1109
NUP62CL	0	3	0	0	22	6	0	5	0	0	10	0	0
NUP85	275	488	179	552	317	504	457	67	473	79	521	122	360
NUP88	68	406	97	350	795	775	358	44	264	64	509	84	374
NUP93	298	886	155	924	397	687	839	110	505	51	611	135	719
NUP98	1719	1881	3145	2294	4019	1862	5976	3289	1886	3762	1836	3883	2399
NUPL1	1052	1111	2906	1044	1586	646	2446	1779	872	1575	867	1440	1023
NUPL1P1	0	0	0	0	0	0	0	0	0	0	0	0	0
NUPL2	52	227	58	224	234	234	179	15	255	26	282	54	214
NUPR1	138	0	164	0	0	0	92	143	0	50	14	28	0
NUPR1L	0	0	0	0	0	0	0	0	0	0	0	0	0
NUS1	286	945	341	725	321	755	977	434	635	530	592	215	876
NUS1P1	23	2	23	16	0	14	22	39	0	7	10	0	19
NUS1P2	0	0	0	0	0	0	0	0	0	0	0	0	0
NUS1P3	0	3	0	0	0	0	3	0	0	0	0	0	0
NUS1P4	0	0	0	0	0	0	0	0	0	0	0	0	0
NUSAP1	52	76	43	112	136	55	236	77	55	70	78	53	51
NUTF2	120	358	124	332	190	276	492	77	195	68	216	102	349
NUTF2P2	0	0	0	0	0	0	0	0	0	0	0	0	0
NUTM1	0	0	7	0	11	7	0	0	13	35	2	0	0
NUTM2A	0	6	5	127	7	0	22	20	68	5	62	0	0
NUTM2A-AS1	55	129	249	643	323	343	160	67	309	122	421	0	15
NUTM2B	7	31	19	29	65	31	32	30	57	0	71	11	19
NUTM2D	0	19	7	63	13	39	17	0	121	0	76	0	0
NUTM2E	0	0	3	27	15	0	2	0	0	11	66	0	0
NUTM2F	12	1	3	17	11	0	0	0	52	0	92	7	5
NUTM2G	0	91	2	96	34	63	25	0	217	0	194	15	60
NUTM2HP	0	0	0	8	0	0	0	0	15	0	5	0	0
NVL	62	200	101	272	202	251	157	35	406	11	301	25	133
NWD1	0	4	0	0	0	11	3	8	0	0	9	1	2
NXF1	1338	2970	3595	3085	2923	1994	4036	5920	2109	5502	3339	1393	2768
NXF2	0	0	0	0	0	0	0	0	0	0	0	0	0
NXF2B	0	0	0	0	19	0	0	0	0	0	0	0	0
NXF3	16	0	12	0	0	7	0	5	0	0	1	0	3
NXF4	0	0	0	0	0	0	0	0	0	0	0	0	0
NXF5	0	0	0	0	0	0	0	0	0	0	0	0	0
NXN	40	19	69	16	14	9	21	14	16	36	21	1	13
NXNL1	0	0	0	0	0	0	0	0	0	0	0	0	0
NXNL2	0	0	0	4	0	0	0	0	0	8	0	6	0
NXPE1	0	0	9	0	0	0	0	0	0	0	1	0	0
NXPE2	0	0	0	0	0	0	0	0	0	0	0	0	0
NXPE2P1	0	0	0	0	0	0	0	0	0	0	0	0	0
NXPE3	236	862	133	936	299	781	625	121	882	124	703	106	332
NXPE4	0	0	0	0	0	0	0	0	0	0	0	0	0
NXPH1	0	0	0	0	0	0	0	0	0	0	0	0	0
NXPH2	0	0	0	0	0	0	0	0	0	0	0	0	0
NXPH3	0	8	13	41	59	4	31	4	27	24	50	12	0
NXPH4	0	0	0	9	8	15	0	0	25	0	1	15	0
NXT1	126	147	151	62	271	226	239	36	53	83	84	58	473
NXT1P1	0	0	0	0	0	0	0	0	0	0	0	0	3
NXT2	48	140	90	138	114	177	236	106	41	98	107	45	149
NYAP1	5	0	0	0	0	0	0	0	0	49	0	1	0
NYAP2	0	0	0	0	0	17	0	0	0	0	0	0	0
NYNRIN	131	62	149	53	10	6	81	17	35	7	14	36	64
NYX	0	0	0	0	0	0	0	0	0	36	0	0	3
OACYLP	0	0	0	0	0	0	0	0	0	0	2	0	5
OAF	114	532	180	542	52	263	594	244	311	63	434	140	585
OARD1	79	236	52	358	232	341	240	40	215	95	320	66	217
OAS1	798	2573	129	2431	177	646	1789	238	1427	112	1480	2329	794
OAS2	2772	6133	417	2295	703	1235	5637	770	2437	319	1130	4545	926
OAS3	5326	9450	986	3221	1068	916	9366	2499	4930	1377	3019	11459	1178
OASL	2649	915	452	208	333	216	2170	1948	281	853	230	4523	230
OAT	247	593	361	492	645	688	1144	421	274	528	372	232	713
OAZ1	5190	10800	4657	10149	3898	6475	12172	3310	5791	3246	6371	3723	11524
OAZ2	821	1526	990	1812	602	1022	2387	744	1034	742	1183	1091	1565
OAZ3	0	0	5	7	2	8	8	0	0	0	7	0	2
OBFC1	61	189	51	274	43	168	227	15	78	12	134	55	182
OBP2A	0	0	0	0	0	0	0	0	0	0	0	0	0
OBP2B	0	0	0	0	0	0	0	0	0	0	0	0	0
OBSCN	50	49	162	161	304	391	111	40	162	116	76	1	49
OBSL1	8	0	45	15	18	7	75	13	38	27	33	7	0
OC90	0	0	0	0	0	0	0	0	0	0	0	0	0
OCA2	0	0	0	0	0	0	0	0	0	0	3	0	0
OCEL1	113	323	41	270	128	127	233	104	133	252	137	21	224
OCIAD1	408	740	303	822	492	740	882	112	326	135	631	181	681
OCIAD1-AS1	0	2	0	0	8	4	0	0	0	0	0	0	0
OCIAD2	10	5	8	0	149	91	10	6	14	0	8	0	11
OCLM	0	35	0	10	12	27	18	0	0	9	27	14	29
OCLN	4	0	5	34	0	0	8	0	0	0	2	0	0
OCM	0	0	0	4	5	0	3	0	10	0	4	0	0
OCM2	0	0	0	0	0	0	0	0	0	0	0	0	0
OCRL	126	215	141	379	143	106	333	37	223	63	275	48	209
OCSTAMP	10	0	0	0	0	0	0	0	0	0	0	0	0
ODAM	0	0	0	0	0	0	0	0	0	0	0	0	0
ODC1	371	424	370	326	1884	782	812	453	215	406	363	39	390
ODCP	0	23	45	71	37	41	33	15	30	51	54	2	55
ODF1	0	0	0	0	0	0	0	0	0	0	0	0	0
ODF2	178	416	215	456	350	682	276	109	228	69	559	108	320
ODF2-AS1	6	10	0	13	0	0	28	0	9	0	7	0	0
ODF2L	57	150	94	236	377	391	183	72	120	52	275	36	118
ODF3	4	28	8	43	17	12	8	0	19	0	39	0	22
ODF3B	2357	2737	1079	3179	637	401	3099	1244	2333	1217	1423	2521	1373
ODF3L1	9	0	0	0	0	0	1	0	0	0	0	0	6
ODF3L2	0	0	0	0	0	0	0	0	0	0	0	0	0
ODF4	0	0	0	0	0	0	0	0	0	7	0	0	0
OFCC1	0	0	0	0	0	0	0	0	0	0	0	1	0
OFD1	138	133	131	207	812	814	341	155	348	177	354	129	187
OFD1P10Y	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P11Y	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P12Y	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P13Y	1	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P15Y	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P17	5	28	19	31	10	28	0	0	26	0	20	0	7
OFD1P18Y	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P1Y	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P2Y	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P3Y	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P4Y	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P5Y	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P6Y	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P7Y	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P8Y	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P9Y	0	0	0	0	0	0	0	0	0	0	0	0	0
OGDH	1291	3219	896	3139	1061	2266	4006	766	3088	1476	3018	1296	2730
OGDHL	0	0	0	0	0	0	0	0	0	0	0	0	1
OGFOD1	128	216	43	155	161	180	201	27	197	37	162	34	118
OGFOD1P1	9	0	23	7	26	0	16	22	69	109	14	17	3
OGFOD2	0	14	15	18	7	23	0	0	23	0	39	0	2
OGFOD3	151	294	89	255	202	204	187	9	136	70	179	73	259
OGFR	1073	2671	779	2792	863	1390	2687	852	3251	766	2097	1457	2202
OGFR-AS1	38	35	9	82	25	13	30	28	101	24	36	73	47
OGFRL1	1633	4864	2122	5960	1083	2502	5352	1278	3041	845	3106	893	5349
OGG1	79	375	53	442	91	252	274	52	449	41	411	96	239
OGN	11	2	27	48	11	8	51	0	29	0	107	8	12
OGT	1606	3643	2864	5400	4333	6595	3130	1524	5244	2465	5615	1277	3554
OIP5	18	0	0	0	6	9	14	0	0	16	10	0	6
OIP5-AS1	237	1438	394	1765	1390	1707	1252	141	1167	175	1448	149	1357
OIT3	0	0	0	0	8	17	0	0	0	19	0	0	0
OLA1	143	446	154	419	305	376	609	58	340	53	378	141	634
OLA1P1	0	31	11	33	19	12	29	10	18	0	12	13	32
OLA1P2	0	0	0	0	0	0	0	0	0	0	2	0	0
OLA1P3	0	9	0	0	0	0	9	0	0	0	0	0	0
OLAH	0	0	3	0	10	0	30	0	0	77	0	51	0
OLFM1	0	178	15	50	0	39	6	0	0	0	76	0	29
OLFM2	9	20	21	35	44	9	37	12	0	0	18	0	5
OLFM3	0	0	0	0	0	0	0	0	0	0	0	0	0
OLFM4	0	1	6	0	0	50	0	7	12	39	0	2	15
OLFML1	0	24	2	38	50	13	7	0	14	15	45	0	7
OLFML2A	4	30	40	30	5	40	98	21	78	12	37	42	5
OLFML2B	1471	40	1124	135	104	10	4017	261	114	139	39	389	97
OLFML3	135	0	240	0	20	0	1159	17	0	34	3	0	0
OLIG1	45	102	164	233	23	113	230	200	217	120	163	11	102
OLIG2	61	9	244	23	0	8	130	175	99	72	38	3	3
OLIG3	0	0	0	0	0	0	0	0	0	0	0	0	0
OLR1	9816	36	11760	10	3355	12	10907	13381	105	12799	47	4711	28
OMA1	27	159	60	241	301	365	131	79	200	63	237	36	181
OMD	6	4	0	15	29	3	11	0	4	0	73	0	27
OMG	18	94	63	172	102	65	52	46	77	84	144	101	165
OMP	0	0	0	0	0	0	0	0	0	0	0	0	3
ONECUT1	0	0	0	0	0	0	8	0	0	1	34	0	0
ONECUT2	0	0	0	0	0	0	0	0	0	0	0	0	0
ONECUT3	0	0	0	0	0	0	0	0	0	4	0	0	0
OOEP	0	0	2	0	0	0	6	0	0	0	0	0	0
OOEP-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
OOSP1	0	0	0	0	0	0	0	0	0	0	0	0	0
OOSP1P1	0	0	0	0	0	0	0	0	0	0	0	0	0
OOSP1P2	0	0	0	0	0	0	0	0	0	0	0	0	0
OOSP2	0	0	0	0	0	0	0	0	0	0	0	0	0
OPA1	662	1490	450	1305	1148	1382	1208	186	1190	174	1176	236	1468
OPA1-AS1	20	26	6	46	27	51	0	0	9	0	37	5	53
OPA3	363	370	971	445	775	267	1005	534	505	1949	429	557	395
OPALIN	0	0	0	0	0	0	5	0	0	44	0	0	0
OPCML	0	0	0	0	0	0	0	0	0	0	0	0	0
OPCML-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0
OPCML-IT2	0	0	0	0	0	0	0	0	0	0	0	0	0
OPHN1	26	32	51	88	17	203	150	11	73	16	129	40	93
OPLAH	245	169	258	246	44	93	361	114	290	232	112	543	338
OPN1LW	0	0	0	0	0	0	0	0	0	52	0	0	0
OPN1MW	0	0	0	0	0	0	0	0	0	4	0	0	0
OPN1MW2	0	0	9	0	0	0	0	0	0	62	0	0	0
OPN1SW	0	8	4	1	9	8	13	3	9	11	18	0	10
OPN3	386	188	266	196	126	154	585	203	137	164	152	110	123
OPN4	0	0	0	0	0	0	0	0	0	0	0	0	0
OPN5	0	0	0	0	0	0	0	0	0	0	0	2	0
OPRD1	0	0	0	0	0	0	0	0	0	0	0	0	0
OPRK1	0	0	0	0	0	0	0	0	0	0	0	12	0
OPRL1	64	422	51	389	95	127	150	47	337	29	320	87	258
OPRM1	0	0	0	0	0	0	0	0	0	0	0	1	0
OPTC	0	0	0	0	0	0	0	0	0	0	0	0	0
OPTN	691	93	342	56	368	425	660	309	54	346	165	460	126
OR10A2	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10A3	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10A4	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10A5	0	0	0	0	0	0	0	0	0	0	2	0	0
OR10A6	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10A7	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10AA1P	0	4	0	9	0	15	6	2	36	0	17	5	4
OR10AB1P	0	0	0	0	0	0	16	0	0	0	0	0	0
OR10AC1P	0	5	0	4	0	2	7	5	0	0	13	0	0
OR10AD1	12	2	5	3	6	0	17	12	0	4	16	0	0
OR10AE1P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10AE3P	0	0	28	11	0	0	18	5	0	70	8	0	17
OR10AF1P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10AG1	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10AH1P	0	0	0	8	0	0	0	0	0	0	0	0	0
OR10AK1P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10B1P	0	0	0	0	0	0	0	0	0	5	0	1	0
OR10C1	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10D1P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10D3	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10D4P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10D5P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10G1P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10G2	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10G3	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10G4	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10G5P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10G6	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10G7	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10G8	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10G9	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10H1	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10H2	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10H3	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10H4	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10H5	0	0	0	0	0	0	13	0	0	0	0	0	0
OR10J1	0	0	0	0	0	0	0	0	0	0	0	1	0
OR10J2P	0	0	0	12	0	0	0	0	0	0	5	0	0
OR10J3	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10J4	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10J5	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10J6P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10J7P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10J8P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10J9P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10K1	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10K2	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10N1P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10P1	0	0	0	0	0	0	6	7	0	0	0	0	0
OR10Q1	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10Q2P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10R1P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10R2	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10R3P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10S1	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10T1P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10T2	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10U1P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10V1	0	0	12	0	0	0	0	0	0	0	0	0	0
OR10V2P	0	12	14	14	0	0	4	55	37	31	3	19	0
OR10V3P	0	3	1	4	4	0	0	0	0	0	8	2	7
OR10W1	0	0	0	4	0	0	0	0	0	0	0	0	0
OR10X1	0	0	0	0	0	0	0	8	0	0	0	0	0
OR10Y1P	0	0	0	0	0	0	0	0	0	7	0	0	0
OR10Z1	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11A1	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11G1P	0	0	0	0	0	0	0	0	0	0	3	0	0
OR11G2	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11H1	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11H12	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11H13P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11H2	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11H3P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11H4	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11H5P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11H6	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11H7	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11I1P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11J1P	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11J2P	0	0	0	0	0	0	0	0	0	0	0	0	0
